ZSPR,0_2,3_5,6_9,10_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_999,year
111,15,17,29,13,44,128,108,85,48,51,60,41,43,25,27,43,22,25,23,2014
114,30,27,28,31,40,131,152,113,76,64,70,47,58,34,33,31,14,18,26,2014
115,15,9,15,17,33,149,97,83,45,47,44,37,33,18,26,21,12,16,19,2014
116,13,10,16,11,21,135,120,78,36,45,44,46,41,32,30,41,23,21,26,2014
117,17,15,27,26,32,98,90,70,50,37,48,55,43,51,45,31,13,14,15,2014
118,15,29,32,28,29,79,85,69,62,47,64,61,60,42,59,35,16,9,23,2014
120,1,0,2,6,3,8,7,8,8,13,14,9,3,10,17,26,17,10,5,2014
121,3,4,4,5,3,7,14,16,9,4,9,4,5,4,2,5,2,1,4,2014
122,9,10,7,10,22,30,38,21,18,29,27,25,17,6,9,16,11,6,3,2014
123,0,0,0,1,0,0,4,1,1,2,1,1,1,0,0,0,0,0,0,2014
124,3,0,1,2,0,1,0,3,1,5,5,3,1,1,3,8,6,0,0,2014
130,17,4,12,8,26,129,132,69,35,33,24,19,18,20,11,5,6,9,19,2014
131,24,35,39,38,50,227,158,135,74,74,72,75,54,59,54,51,22,28,50,2014
132,18,13,15,14,26,76,74,61,46,39,39,30,25,21,25,35,33,33,28,2014
133,9,11,12,33,40,45,50,44,47,59,62,96,79,48,57,51,21,18,15,2014
134,2,1,1,4,2,6,2,2,5,3,4,3,1,2,1,1,0,1,1,2014
140,31,34,37,49,75,72,72,79,72,73,92,109,53,40,54,59,38,33,31,2014
150,19,19,26,31,31,60,53,56,46,63,51,45,26,27,29,26,13,17,13,2014
151,0,1,2,4,25,46,46,45,29,24,24,20,17,5,10,7,2,1,0,2014
152,6,8,19,22,11,16,23,21,30,29,34,25,26,14,23,18,4,7,5,2014
153,18,10,15,9,12,32,41,40,32,19,32,26,19,11,5,5,1,0,1,2014
200,23,18,31,25,50,59,60,61,60,72,69,50,67,61,64,50,24,21,16,2014
201,24,8,12,28,40,66,61,52,41,55,54,51,65,45,57,43,14,33,29,2014
202,11,16,10,11,17,31,38,38,35,33,38,36,19,21,25,23,24,16,15,2014
203,20,22,27,32,45,44,43,49,28,48,65,69,56,51,52,83,42,43,38,2014
210,11,20,16,15,12,46,52,42,48,42,47,31,53,48,46,48,14,13,9,2014
211,32,19,39,40,57,145,129,86,59,75,73,85,70,72,58,50,22,36,31,2014
212,21,10,20,17,23,58,53,30,29,31,42,35,33,34,25,32,19,15,7,2014
213,18,22,19,42,32,42,38,38,47,47,72,56,46,40,61,72,35,20,15,2014
214,23,22,32,33,40,105,96,89,80,68,51,52,34,65,47,45,29,17,18,2014
215,15,18,17,25,36,123,108,74,51,59,55,68,46,44,41,40,17,21,23,2014
220,23,18,27,54,55,86,55,74,57,67,81,77,81,72,52,44,29,16,12,2014
221,10,17,23,31,38,40,43,43,28,46,60,66,45,46,56,53,22,24,23,2014
222,15,11,17,26,21,23,31,24,27,30,45,38,35,34,38,32,18,16,8,2014
223,15,10,10,17,20,44,40,34,25,35,40,46,27,35,33,35,30,46,125,2014
224,10,6,14,12,13,32,27,33,30,27,32,24,34,22,29,20,31,36,21,2014
230,29,13,18,39,44,119,104,83,71,69,81,94,64,45,55,59,46,46,39,2014
231,41,48,113,108,98,89,87,118,125,135,106,79,49,44,42,40,21,30,62,2014
232,14,10,15,28,24,63,60,59,64,66,53,39,31,31,34,36,14,11,9,2014
240,16,14,20,23,36,92,94,67,50,53,51,54,56,46,33,42,36,29,39,2014
241,39,18,18,40,52,117,128,96,76,83,78,77,71,48,62,58,58,37,61,2014
242,17,18,15,18,25,51,49,55,40,57,54,50,53,58,39,46,22,9,18,2014
